Utility Bill Date,Facility Name,Account Number,Line Item Type Name,Line Item Usage,Line Item Cost,Account Financial Code 1,Account Financial Code 2,Line Item Start Date,Line Item End Date,Facility Number,Line Item Category Name,Meter Type Name
7/1/24,36 N Pleasant St,12-02092-1,Trash (City Charges),0,197.1,"1862	",,6/1/24,7/1/24,"59	",Charges,Refuse
7/1/24,36 N Pleasant St,12-02092-1,Water-Usage (CF),700,68.53,"1862	",,6/1/24,7/1/24,"59	",Usage,Potable
7/1/24,35 Willard Ct #3,12-02095-20,Electric-Usage (KWH),8,8.56,"1862	","7303	",6/1/24,7/1/24,"215	",Usage,Grid Purchased
7/1/24,35 Willard Ct #5,12-02100-13,Electric-Usage (KWH),51,14.26,"1862	","7303	",6/1/24,7/1/24,"252	",Usage,Grid Purchased
7/1/24,35 Willard Ct #7,12-02105-13,Electric-Usage (KWH),37,12.4,"1862	","7303	",6/1/24,7/1/24,"216	",Usage,Grid Purchased
7/1/24,36 N Pleasant St #2,12-02115-20,Electric-Usage (KWH),108,21.8,"1862	","7303	",6/1/24,7/1/24,"217	",Usage,Grid Purchased
7/1/24,36 N Pleasant St #4,12-02125-12,Electric-Usage (KWH),26,10.94,"1862	","7303	",6/1/24,7/1/24,"218	",Usage,Grid Purchased
7/1/24,36 N Pleasant St #8,12-02135-20,Electric-Usage (KWH),369,56.38,"1862	","7303	",6/1/24,7/1/24,"222	",Usage,Grid Purchased
7/1/24,36 N Pleasant St #6,12-02145-12,Electric-Usage (KWH),232,38.23,"1862	","7303	",6/1/24,7/1/24,"221	",Usage,Grid Purchased
7/1/24,37 N Pleasant St #1 - CPO,12-02165-17,Electric-Usage (KWH),125,24.06,"9451	",,6/1/24,7/1/24,"220	",Usage,Grid Purchased
7/1/24,37 N Pleasant St #1 - CPO,12-02165-17,Sewer-Usage (CF),0,21.33,"9451	",,6/1/24,7/1/24,"220	",Usage,N/A
7/1/24,37 N Pleasant St #1 - CPO,12-02165-17,Trash (City Charges),0,12.5,"9451	",,6/1/24,7/1/24,"220	",Charges,Refuse
7/1/24,37 N Pleasant St #1 - CPO,12-02165-17,Water-Usage (CF),0,29.37,"9451	",,6/1/24,7/1/24,"220	",Usage,Potable
7/1/24,37 N Pleasant St #2 - CPO,12-02166-7,Electric-Usage (KWH),475,70.42,"9451	",,6/1/24,7/1/24,"61	",Usage,Grid Purchased
7/1/24,37 N Pleasant St #2 - CPO,12-02166-7,Sewer-Usage (CF),100,21.33,"9451	",,6/1/24,7/1/24,"61	",Usage,N/A
7/1/24,37 N Pleasant St #2 - CPO,12-02166-7,Trash (City Charges),0,12.5,"9451	",,6/1/24,7/1/24,"61	",Charges,Refuse
7/1/24,37 N Pleasant St #2 - CPO,12-02166-7,Water-Usage (CF),100,29.37,"9451	",,6/1/24,7/1/24,"61	",Usage,Potable
7/1/24,37 N Pleasant St - Garden,12-02167-3,Water-Usage (CF),0,0,"9451	","7304	",6/1/24,7/1/24,"266	",Usage,Potable
7/1/24,40 N Pleasant St,12-02175-8,Electric-Usage (KWH),312,48.82,"1808	",,6/1/24,7/1/24,"63	",Usage,Grid Purchased
7/1/24,40 N Pleasant St,12-02175-8,Sewer-Usage (CF),0,21.33,"1808	",,6/1/24,7/1/24,"63	",Usage,N/A
7/1/24,40 N Pleasant St,12-02175-8,Trash (City Charges),0,12.5,"1808	",,6/1/24,7/1/24,"63	",Charges,Refuse
7/1/24,40 N Pleasant St,12-02175-8,Water-Usage (CF),0,29.37,"1808	",,6/1/24,7/1/24,"63	",Usage,Potable
7/1/24,41 N Pleasant St - Garden Meter,12-02185-5,Water-Usage (CF),0,0,"9451	","7304	",6/1/24,7/1/24,"290	",Usage,Potable
7/1/24,41 N Pleasant St - CPO,12-02186-13,Electric-Usage (KWH),315,49.22,"9451	",,6/1/24,7/1/24,"64	",Usage,Grid Purchased
7/1/24,41 N Pleasant St - CPO,12-02186-13,Sewer-Usage (CF),0,21.33,"9451	",,6/1/24,7/1/24,"64	",Usage,N/A
7/1/24,41 N Pleasant St - CPO,12-02186-13,Trash (City Charges),0,12.5,"9451	",,6/1/24,7/1/24,"64	",Charges,Refuse
7/1/24,41 N Pleasant St - CPO,12-02186-13,Water-Usage (CF),0,29.37,"9451	",,6/1/24,7/1/24,"64	",Usage,Potable
7/1/24,62 N Pleasant St,12-02280-2,Electric-Usage (KWH),56,14.92,"1878	",,6/1/24,7/1/24,"73	",Usage,Grid Purchased
7/1/24,62 N Pleasant St,12-02280-2,Sewer-Usage (CF),0,21.33,"1878	",,6/1/24,7/1/24,"73	",Usage,N/A
7/1/24,62 N Pleasant St,12-02280-2,Trash (City Charges),0,12.5,"1878	",,6/1/24,7/1/24,"73	",Charges,Refuse
7/1/24,62 N Pleasant St,12-02280-2,Water-Usage (CF),0,29.37,"1878	",,6/1/24,7/1/24,"73	",Usage,Potable
7/1/24,66 N Pleasant St,12-02300-4,Electric-Usage (KWH),40,12.8,"1879	",,6/1/24,7/1/24,"77	",Usage,Grid Purchased
7/1/24,66 N Pleasant St,12-02300-4,Sewer-Usage (CF),0,21.33,"1879	",,6/1/24,7/1/24,"77	",Usage,N/A
7/1/24,66 N Pleasant St,12-02300-4,Trash (City Charges),0,12.5,"1879	",,6/1/24,7/1/24,"77	",Charges,Refuse
7/1/24,66 N Pleasant St,12-02300-4,Water-Usage (CF),0,29.37,"1879	",,6/1/24,7/1/24,"77	",Usage,Potable
7/1/24,70 N Pleasant St,12-02310-15,Electric-Usage (KWH),50,14.12,"1893	",,6/1/24,7/1/24,"80	",Usage,Grid Purchased
7/1/24,70 N Pleasant St,12-02310-15,Sewer-Usage (CF),0,21.33,"1893	",,6/1/24,7/1/24,"80	",Usage,N/A
7/1/24,70 N Pleasant St,12-02310-15,Trash (City Charges),0,12.5,"1893	",,6/1/24,7/1/24,"80	",Charges,Refuse
7/1/24,70 N Pleasant St,12-02310-15,Water-Usage (CF),0,29.37,"1893	",,6/1/24,7/1/24,"80	",Usage,Potable
7/1/24,76 N Pleasant St,12-02330-15,Electric-Usage (KWH),45,13.47,"1897	",,6/1/24,7/1/24,"83	",Usage,Grid Purchased
7/1/24,76 N Pleasant St,12-02330-15,Sewer-Usage (CF),0,21.33,"1897	",,6/1/24,7/1/24,"83	",Usage,N/A
7/1/24,76 N Pleasant St,12-02330-15,Trash (City Charges),0,12.5,"1897	",,6/1/24,7/1/24,"83	",Charges,Refuse
7/1/24,76 N Pleasant St,12-02330-15,Water-Usage (CF),0,29.37,"1897	",,6/1/24,7/1/24,"83	",Usage,Potable
7/1/24,119 / 130 Woodland St - Science Center - North Quad,12297736 019 000 8,Delivery,0,306.07,"1557	","7302	",5/31/24,7/1/24,"171	",Charges,N/A
7/1/24,119 / 130 Woodland St - Science Center - North Quad,12297736 019 000 8,Supply,542,0,"1557	","7302	",5/31/24,7/1/24,"171	",Usage,N/A
7/1/24,119 / 130 Woodland St - Science Center - North Quad,12297736 019 000 8,Taxes,0,15.26,"1557	","7302	",5/31/24,7/1/24,"171	",Taxes,N/A
7/1/24,270 Goldsmith Ln,12297736 022 000 3,Delivery,0,47,"6218	","7302	",5/31/24,7/1/24,"49	",Charges,N/A
7/1/24,270 Goldsmith Ln,12297736 022 000 3,Supply,2,2,"6218	","7302	",5/31/24,7/1/24,"49	",Usage,N/A
7/1/24,270 Goldsmith Ln,12297736 022 000 3,Taxes,0,2.34,"6218	","7302	",5/31/24,7/1/24,"49	",Taxes,N/A
7/1/24,169 N Professor St - Kahn Hall,12297736 026 000 9,Delivery,0,46.84,"6222	","7302	",5/31/24,7/1/24,"135	",Charges,N/A
7/1/24,169 N Professor St - Kahn Hall,12297736 026 000 9,Supply,0,0,"6222	","7302	",5/31/24,7/1/24,"135	",Usage,N/A
7/1/24,169 N Professor St - Kahn Hall,12297736 026 000 9,Taxes,0,2.34,"6222	","7302	",5/31/24,7/1/24,"135	",Taxes,N/A
7/1/24,212 Woodland St - Stadium Locker / Equipment,12297736 027 000 8,Delivery,0,250.35,"1541	","7302	",5/31/24,7/1/24,"296	",Charges,N/A
7/1/24,212 Woodland St - Stadium Locker / Equipment,12297736 027 000 8,Supply,304,0,"1541	","7302	",5/31/24,7/1/24,"296	",Usage,N/A
7/1/24,212 Woodland St - Stadium Locker / Equipment,12297736 027 000 8,Taxes,0,12.48,"1541	","7302	",5/31/24,7/1/24,"296	",Taxes,N/A
7/1/24,200 Woodland St B - Health and Wellness,12297736 031 000 2,Delivery,0,780.03,"1569	","7302	",5/31/24,7/1/24,"303	",Charges,N/A
7/1/24,200 Woodland St B - Health and Wellness,12297736 031 000 2,Supply,2913,1249.09,"1569	","7302	",5/31/24,7/1/24,"303	",Usage,N/A
7/1/24,200 Woodland St B - Health and Wellness,12297736 031 000 2,Taxes,0,101.19,"1569	","7302	",5/31/24,7/1/24,"303	",Taxes,N/A
7/1/24,67 1/2 N Main St - Hall Theater Complex,12297736 032 000 1,Delivery,0,186.82,"1564	","7302	",5/31/24,7/1/24,"304	",Charges,N/A
7/1/24,67 1/2 N Main St - Hall Theater Complex,12297736 032 000 1,Supply,73,33.33,"1564	","7302	",5/31/24,7/1/24,"304	",Usage,N/A
7/1/24,67 1/2 N Main St - Hall Theater Complex,12297736 032 000 1,Taxes,0,9.32,"1564	","7302	",5/31/24,7/1/24,"304	",Taxes,N/A
7/1/24,77 W College St - Kohl Building,12297736 033 000 0,Delivery,0,47.43,"1595	","7302	",5/31/24,7/1/24,"199	",Charges,N/A
7/1/24,77 W College St - Kohl Building,12297736 033 000 0,Supply,7,3.2,"1595	","7302	",5/31/24,7/1/24,"199	",Usage,N/A
7/1/24,77 W College St - Kohl Building,12297736 033 000 0,Taxes,0,2.37,"1595	","7302	",5/31/24,7/1/24,"199	",Taxes,N/A
7/1/24,12578 N Professor St,12297736 034 000  9,Delivery,0,47.09,"1825	","7302	",5/31/24,7/1/24,,Charges,N/A
7/1/24,12578 N Professor St,12297736 034 000  9,Supply,3,1.44,"1825	","7302	",5/31/24,7/1/24,,Usage,N/A
7/1/24,12578 N Professor St,12297736 034 000  9,Taxes,0,2.35,"1825	","7302	",5/31/24,7/1/24,,Taxes,N/A
7/1/24,154 Forest St - President's House,12297851 001 000 4,Delivery,0,49.54,"1560	","7302	",5/31/24,7/1/24,"166	",Charges,N/A
7/1/24,154 Forest St - President's House,12297851 001 000 4,Supply,32,31.97,"1560	","7302	",5/31/24,7/1/24,"166	",Usage,N/A
7/1/24,154 Forest St - President's House,12297851 001 000 4,Taxes,0,2.47,"1560	","7302	",5/31/24,7/1/24,"166	",Taxes,N/A
7/1/24,68 S Professor St (formerly Lewis Ctr),12297856 001 000 4,Delivery,0,47.35,"1542	","7302	",5/31/24,7/1/24,"155	",Charges,N/A
7/1/24,68 S Professor St (formerly Lewis Ctr),12297856 001 000 4,Supply,6,5.99,"1542	","7302	",5/31/24,7/1/24,"155	",Usage,N/A
7/1/24,68 S Professor St (formerly Lewis Ctr),12297856 001 000 4,Taxes,0,2.36,"1542	","7302	",5/31/24,7/1/24,"155	",Taxes,N/A
7/1/24,51 N Cedar St - Pottery Coop Kiln,12297860 002 000 4,Delivery,0,46.84,"1561	","7302	",5/31/24,7/1/24,"197	",Charges,N/A
7/1/24,51 N Cedar St - Pottery Coop Kiln,12297860 002 000 4,Supply,0,0,"1561	","7302	",5/31/24,7/1/24,"197	",Usage,N/A
7/1/24,51 N Cedar St - Pottery Coop Kiln,12297860 002 000 4,Taxes,0,2.34,"1561	","7302	",5/31/24,7/1/24,"197	",Taxes,N/A
7/1/24,12550 N Professor St,12297860 003 000 3,Delivery,0,47.35,"1898	","7302	",5/31/24,7/1/24,,Charges,N/A
7/1/24,12550 N Professor St,12297860 003 000 3,Supply,6,2.82,"1898	","7302	",5/31/24,7/1/24,,Usage,N/A
7/1/24,12550 N Professor St,12297860 003 000 3,Taxes,0,2.36,"1898	","7302	",5/31/24,7/1/24,,Taxes,N/A
7/1/24,75 Elmwood Pl,12297862 001 000 1,Delivery,0,47.18,"1850	","7302	",5/31/24,7/1/24,"82	",Charges,N/A
7/1/24,75 Elmwood Pl,12297862 001 000 1,Supply,4,4,"1850	","7302	",5/31/24,7/1/24,"82	",Usage,N/A
7/1/24,75 Elmwood Pl,12297862 001 000 1,Taxes,0,2.35,"1850	","7302	",5/31/24,7/1/24,"82	",Taxes,N/A
7/1/24,176 Woodland St,12297862 002 000 0,Delivery,0,47.27,"1821	","7302	",5/31/24,7/1/24,,Charges,N/A
7/1/24,176 Woodland St,12297862 002 000 0,Supply,5,2.28,"1821	","7302	",5/31/24,7/1/24,,Usage,N/A
7/1/24,176 Woodland St,12297862 002 000 0,Taxes,0,2.36,"1821	","7302	",5/31/24,7/1/24,,Taxes,N/A
7/1/24,132 Elm St - AJLC Annex,12297933 001 000 0,Delivery,0,47.09,"1592	","7302	",5/31/24,7/1/24,"89	",Charges,N/A
7/1/24,132 Elm St - AJLC Annex,12297933 001 000 0,Supply,3,3,"1592	","7302	",5/31/24,7/1/24,"89	",Usage,N/A
7/1/24,132 Elm St - AJLC Annex,12297933 001 000 0,Taxes,0,2.35,"1592	","7302	",5/31/24,7/1/24,"89	",Taxes,N/A
7/1/24,168 N Main St - CPO,12297933 002 000 9,Delivery,0,47.18,"9451	","7302	",5/31/24,7/1/24,"34	",Charges,N/A
7/1/24,168 N Main St - CPO,12297933 002 000 9,Supply,4,4,"9451	","7302	",5/31/24,7/1/24,"34	",Usage,N/A
7/1/24,168 N Main St - CPO,12297933 002 000 9,Taxes,0,2.35,"9451	","7302	",5/31/24,7/1/24,"34	",Taxes,N/A
7/1/24,285 E College St - Koppes/Norris House,12297933 005 000 6,Delivery,0,179.36,"6276	","7302	",5/31/24,7/1/24,"253	",Charges,N/A
7/1/24,285 E College St - Koppes/Norris House,12297933 005 000 6,Supply,47,46.95,"6276	","7302	",5/31/24,7/1/24,"253	",Usage,N/A
7/1/24,285 E College St - Koppes/Norris House,12297933 005 000 6,Taxes,0,8.94,"6276	","7302	",5/31/24,7/1/24,"253	",Taxes,N/A
7/1/24,143 W College St,12298038 001 000 7,Delivery,0,47.09,"1813	","7302	",5/31/24,7/1/24,"19	",Charges,N/A
7/1/24,143 W College St,12298038 001 000 7,Supply,3,3,"1813	","7302	",5/31/24,7/1/24,"19	",Usage,N/A
7/1/24,143 W College St,12298038 001 000 7,Taxes,0,2.35,"1813	","7302	",5/31/24,7/1/24,"19	",Taxes,N/A
7/1/24,190 W College St,12298277 001 000 1,Delivery,0,47.18,"1846	","7302	",5/31/24,7/1/24,"39	",Charges,N/A
7/1/24,190 W College St,12298277 001 000 1,Supply,4,4,"1846	","7302	",5/31/24,7/1/24,"39	",Usage,N/A
7/1/24,190 W College St,12298277 001 000 1,Taxes,0,2.35,"1846	","7302	",5/31/24,7/1/24,"39	",Taxes,N/A
7/1/24,153 W Lorain St (formerly Creative Wrtg),12298284 001 000 6,Delivery,0,47.35,"1563	","7302	",5/31/24,7/1/24,"29	",Charges,N/A
7/1/24,153 W Lorain St (formerly Creative Wrtg),12298284 001 000 6,Supply,6,5.99,"1563	","7302	",5/31/24,7/1/24,"29	",Usage,N/A
7/1/24,153 W Lorain St (formerly Creative Wrtg),12298284 001 000 6,Taxes,0,2.36,"1563	","7302	",5/31/24,7/1/24,"29	",Taxes,N/A
7/1/24,201 N Professor St,12298284 002 000 5,Delivery,0,47.27,"1888	","7302	",5/31/24,7/1/24,"45	",Charges,N/A
7/1/24,201 N Professor St,12298284 002 000 5,Supply,5,5,"1888	","7302	",5/31/24,7/1/24,"45	",Usage,N/A
7/1/24,201 N Professor St,12298284 002 000 5,Taxes,0,2.36,"1888	","7302	",5/31/24,7/1/24,"45	",Taxes,N/A
7/1/24,197 W Lorain St,12298285 001 000 4,Delivery,0,169.57,"1826	","7302	",5/31/24,7/1/24,"42	",Charges,N/A
7/1/24,197 W Lorain St,12298285 001 000 4,Supply,13,12.99,"1826	","7302	",5/31/24,7/1/24,"42	",Usage,N/A
7/1/24,197 W Lorain St,12298285 001 000 4,Taxes,0,8.46,"1826	","7302	",5/31/24,7/1/24,"42	",Taxes,N/A
7/1/24,148 N Main St,12298285 004 000 1,Delivery,0,48.12,"1892	","7302	",5/31/24,7/1/24,"21	",Charges,N/A
7/1/24,148 N Main St,12298285 004 000 1,Supply,15,14.99,"1892	","7302	",5/31/24,7/1/24,"21	",Usage,N/A
7/1/24,148 N Main St,12298285 004 000 1,Taxes,0,2.4,"1892	","7302	",5/31/24,7/1/24,"21	",Taxes,N/A
7/1/24,51 S Main St B - Hobbs Studio,12299286 002 000 0,Delivery,0,46.84,"1596	","7302	",5/31/24,7/1/24,"198	",Charges,N/A
7/1/24,51 S Main St B - Hobbs Studio,12299286 002 000 0,Supply,0,0,"1596	","7302	",5/31/24,7/1/24,"198	",Usage,N/A
7/1/24,51 S Main St B - Hobbs Studio,12299286 002 000 0,Taxes,0,2.34,"1596	","7302	",5/31/24,7/1/24,"198	",Taxes,N/A
7/1/24,270 N Professor St - CPO,12299286 007 000 5,Delivery,0,47.09,"9451	","7302	",5/31/24,7/1/24,"50	",Charges,N/A
7/1/24,270 N Professor St - CPO,12299286 007 000 5,Supply,3,3,"9451	","7302	",5/31/24,7/1/24,"50	",Usage,N/A
7/1/24,270 N Professor St - CPO,12299286 007 000 5,Taxes,0,2.35,"9451	","7302	",5/31/24,7/1/24,"50	",Taxes,N/A
7/1/24,148 Elm St - CPO,12299286 008 000 4,Delivery,0,47.53,"9451	","7302	",5/31/24,7/1/24,"24	",Charges,N/A
7/1/24,148 Elm St - CPO,12299286 008 000 4,Supply,8,7.99,"9451	","7302	",5/31/24,7/1/24,"24	",Usage,N/A
7/1/24,148 Elm St - CPO,12299286 008 000 4,Taxes,0,2.37,"9451	","7302	",5/31/24,7/1/24,"24	",Taxes,N/A
7/1/24,150 Elm St - CPO,12299286 009 000 3,Delivery,0,48.45,"9451	","7302	",5/31/24,7/1/24,"210	",Charges,N/A
7/1/24,150 Elm St - CPO,12299286 009 000 3,Supply,19,18.98,"9451	","7302	",5/31/24,7/1/24,"210	",Usage,N/A
7/1/24,150 Elm St - CPO,12299286 009 000 3,Taxes,0,2.42,"9451	","7302	",5/31/24,7/1/24,"210	",Taxes,N/A
7/1/24,258 N Professor St #1 - CPO,12299286 010 000 0,Delivery,0,46.84,"9451	","7302	",5/31/24,7/1/24,"297	",Charges,N/A
7/1/24,258 N Professor St #1 - CPO,12299286 010 000 0,Supply,0,0,"9451	","7302	",5/31/24,7/1/24,"297	",Usage,N/A
7/1/24,258 N Professor St #1 - CPO,12299286 010 000 0,Taxes,0,2.34,"9451	","7302	",5/31/24,7/1/24,"297	",Taxes,N/A
7/1/24,36 S Pleasant St - Firelands Dorm,12299292 003 000 6,Delivery,0,269.09,"6216	","7302	",5/31/24,7/1/24,"123	",Charges,N/A
7/1/24,36 S Pleasant St - Firelands Dorm,12299292 003 000 6,Supply,384,383.62,"6216	","7302	",5/31/24,7/1/24,"123	",Usage,N/A
7/1/24,36 S Pleasant St - Firelands Dorm,12299292 003 000 6,Taxes,0,13.42,"6216	","7302	",5/31/24,7/1/24,"123	",Taxes,N/A
